DATE,EXCAUS
1971-01-01,1.0118
1971-02-01,1.0075
1971-03-01,1.0064
1971-04-01,1.0077
1971-05-01,1.0087
1971-06-01,1.0213
1971-07-01,1.0213
1971-08-01,1.013
1971-09-01,1.013
1971-10-01,1.0047
1971-11-01,1.0039
1971-12-01,0.9993
1972-01-01,1.0059
1972-02-01,1.0047
1972-03-01,0.9985
1972-04-01,0.9957
1972-05-01,0.9889
1972-06-01,0.9795
1972-07-01,0.984
1972-08-01,0.9824
1972-09-01,0.983
1972-10-01,0.9827
1972-11-01,0.9874
1972-12-01,0.9968
1973-01-01,0.9993
1973-02-01,0.9956
1973-03-01,0.9967
1973-04-01,1.0007
1973-05-01,1.0008
1973-06-01,0.9984
1973-07-01,0.9995
1973-08-01,1.0039
1973-09-01,1.0083
1973-10-01,1.0011
1973-11-01,0.9991
1973-12-01,0.9994
1974-01-01,0.9915
1974-02-01,0.9766
1974-03-01,0.972
1974-04-01,0.9676
1974-05-01,0.9623
1974-06-01,0.9664
1974-07-01,0.9763
1974-08-01,0.9799
1974-09-01,0.9864
1974-10-01,0.983
1974-11-01,0.9874
1974-12-01,0.9882
1975-01-01,0.9948
1975-02-01,1.0004
1975-03-01,1.0005
1975-04-01,1.011
1975-05-01,1.0286
1975-06-01,1.0264
1975-07-01,1.0309
1975-08-01,1.0354
1975-09-01,1.0263
1975-10-01,1.0251
1975-11-01,1.0139
1975-12-01,1.0139
1976-01-01,1.0065
1976-02-01,0.9935
1976-03-01,0.9859
1976-04-01,0.9836
1976-05-01,0.9802
1976-06-01,0.9736
1976-07-01,0.9722
1976-08-01,0.9854
1976-09-01,0.9751
1976-10-01,0.9727
1976-11-01,0.9859
1976-12-01,1.0183
1977-01-01,1.0103
1977-02-01,1.0279
1977-03-01,1.0513
1977-04-01,1.0515
1977-05-01,1.0486
1977-06-01,1.0577
1977-07-01,1.0612
1977-08-01,1.075
1977-09-01,1.0733
1977-10-01,1.0989
1977-11-01,1.1093
